27FA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.99,2.27,17.78,-13.77,-6.52,14.14,11.64,3.14,1.68,7.17,4.86,4.99,-2.21,4.96,6.28,-3.98,4.25,11.87,-0.93,-3.94,-4.69,0
MNFO,-1.24,6.71,9.56,-6.79,1.89,-21.57,3.77,-4.77,10.77,0.47,-8.9,-1.26,4.69,-13.05,-15.27,-4.03,22.29,-14.48,-3.65,7.49,11.36,4.18,4.52,5.64,4.98,9.19,-0.9,4.44,8.3,-0.81,8.64,9.98,0.34,-1.62,-3.97,-2.03
TSFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNTR,-1.46,5.17,8.19,-5.47,1.68,-20.32,1.01,-4.37,9.58,-0.94,-10.3,3.49,5.58,-10.03,-11.71,2.75,18.62,-14.36,-0.64,5.35,12.96,2.95,4.21,3.89,6.73,8.62,-2.23,8.05,6.23,-0.45,7.75,7.53,0.44,-0.35,-2.32,-0.65
M4IA,-0.29,5.48,6.41,-4.22,2.54,-11.9,-0.31,-3.41,7.97,0.66,-2.69,4.68,4.18,-6.09,-7.65,2.83,17.46,-9.66,2.6,5.72,9.18,-1.6,2.07,-1.4,3.3,4.96,-4.63,5.68,3.2,-2.82,4.46,6.47,-0.39,-0.24,-2.78,-1.44
M4IB,-0.9,7.72,7.79,-6.14,1.85,-15.4,1.83,-4.36,8.48,1.79,-4.43,2.27,4.17,-8.98,-10.02,2.95,18.07,-11.83,-1.62,8.38,10.2,0.98,1.11,3.36,4.6,4.82,-2.72,5.38,4.01,-3.86,4.24,9.29,-0.85,-1.84,-4.08,-1.25
M4IO,-0.22,7.99,7.61,-6.11,1.28,-17.18,2.08,-4.57,8.99,1.99,-5,2.24,4.05,-9.41,-10.34,2.28,18.49,-12.36,-8.14,14.53,11.56,4.02,1.14,5.19,5.71,4.6,-1.45,6.66,4.21,-3.71,3.65,11.29,-1.47,-3.35,-5.32,-1.92
M4IS,-0.46,6.38,6.84,-4.59,2.47,-12.52,0.26,-3.77,8.25,0.97,-3.27,4.27,4.14,-6.9,-8.47,3.38,17.8,-10.65,0.86,7.46,9.72,-0.5,1.35,1.25,3.95,5.06,-3.82,5.4,3.58,-3.17,4.34,7.64,-0.57,-0.86,-3.2,-1.32
ABAF,0.74,4.32,5.15,-3.16,2.71,-9.18,-1.3,-2.92,7.48,0.29,-2.42,6.32,4.9,-5.33,-5.82,4.59,17.38,-9.94,0.59,6.36,9.36,-2.33,2.76,0.25,4.18,5.21,-3.79,5.2,3.62,-1.61,4.64,6.81,-0.58,0.2,-2.22,-0.96
ABSE,-0.4,8.01,8.64,-7.7,2.88,-15.9,5.75,-6.48,10.43,2.05,-8.3,-1.63,5.24,-11.49,-14.94,2.54,16.89,-10.88,-2.12,6.33,9.09,0.81,2.01,2.49,4.37,5.96,-1.61,4.54,4.76,-3.15,5.24,8.95,-1.1,-3.18,-3.06,-2.82
